,outputs_0,outputs_1,outputs_2,outputs_3,outputs_4,outputs_5,final_output
669,Qh1#,Qh1#,garbage,garbage,Qh1#,Qh1#,Qh1#
670,garbage,garbage,garbage,garbage,garbage,garbage,garbage
671,Rfb1#,Ra4#,Ra4#,Ra4#,Qb3#,Ra4#,Rfb1#
672,Qb7#,Qb7#,Qb7#,Qb7#,Qb7#,Qb7#,Qb7#
673,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#
674,garbage,garbage,garbage,Rg3#,garbage,garbage,Rg3#
675,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
676,Qa4#,Qa4#,Qa4#,Qa4#,axb6#,axb6#,Qa4#
677,Qh1#,Qh1#,Qh1#,Qh1#,Qh1#,Qh1#,Qh1#
678,garbage,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#
679,garbage,garbage,garbage,garbage,garbage,garbage,garbage
680,garbage,garbage,garbage,garbage,garbage,garbage,garbage
681,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#
682,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#
683,Qc8#,Qc8#,Qc8#,Qc8#,Qc8#,Qc8#,Qc8#
684,Rxh2#,Rxh2#,Rxh2#,Rxh2#,Rxh2#,Rxh2#,Rxh2#
685,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#
686,Rf8#,Rf8#,Rf8#,Rf8#,Rf8#,Rf8#,Rf8#
687,garbage,garbage,garbage,Nxa2#,garbage,Nxa2#,Nxa2#
688,garbage,garbage,Qd1#,garbage,garbage,garbage,Qd1#
689,Qg8#,Qh7#,Qg8#,Qh7#,Qg8#,Qg8#,Qg8#
690,Qxb5#,garbage,Ra4#,Qxb5#,Ra4#,Ra4#,Qxb5#
691,Bxf6#,Bxf6#,Bxf6#,Bxf6#,Bxf6#,Bxf6#,Bxf6#
692,garbage,garbage,garbage,garbage,garbage,garbage,garbage
693,Rxe8#,Rxe8#,Rxe8#,Rxe8#,Rxe8#,Rxe8#,Rxe8#
694,Re1#,Re1#,Re1#,Re1#,Re1#,Re1#,Re1#
695,Rd8#,Rd8#,garbage,Rd8#,Rd8#,Rd8#,Rd8#
696,garbage,garbage,Qe7#,Qe7#,Qe7#,garbage,Qe7#
697,Qg2#,Rxh3#,Rxh3#,Qg2#,Qg2#,Qg2#,Qg2#
698,Qhh1#,Qhh1#,Qhh1#,Qhh1#,Qhh1#,Qhh1#,Qhh1#
699,Nxf7#,Nxf7#,Nxf7#,Nxf7#,Nxf7#,Qxh7#,Nxf7#
700,Rh6#,Rh6#,Rh6#,Rh6#,Rh6#,Rh6#,Rh6#
701,Qb1#,Qb1#,Qb1#,Qb1#,Qb1#,Qb1#,Qb1#
702,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#
703,Rg8#,Rg8#,Rg8#,Rg8#,Rg8#,Rg8#,Rg8#
704,Rg1#,Qe2#,garbage,garbage,Rg1#,Rg1#,Rg1#
705,Qc7#,garbage,Qc7#,garbage,Qc7#,garbage,Qc7#
706,Qg5#,garbage,Qg5#,Qg5#,Qg5#,Qg5#,Qg5#
707,Qa1#,Qa1#,Qa1#,Qa1#,Qa1#,Qa1#,Qa1#
708,Qxe1#,Qxe1#,Qxe1#,Qxe1#,Qxe1#,Qxe1#,Qxe1#
709,Qh5#,Qh5#,Qh5#,Qh5#,Qh5#,Qh5#,Qh5#
710,Qb7#,Qb7#,Qb7#,Qa8#,Qb7#,Qa8#,Qb7#
711,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#
712,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#
713,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
714,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#
715,h7#,h7#,h7#,h7#,h7#,h7#,h7#
716,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#
717,garbage,garbage,Qxd1#,Qxd1#,garbage,Qxd1#,Qxd1#
718,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#
719,Rxd1#,Rxd1#,Rxd1#,Rxd1#,Rxd1#,Rxd1#,Rxd1#
720,garbage,garbage,garbage,garbage,garbage,garbage,garbage
721,Qxc2#,Qxc2#,Qxc2#,Qxc2#,Qxc2#,Qxc2#,Qxc2#
722,Rxe8#,Rxe8#,Rxe8#,Rxe8#,Rxe8#,Rxe8#,Rxe8#
723,Qe1#,Qe1#,Qe1#,Qe1#,Qe1#,Qe1#,Qe1#
724,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#
725,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#
726,Qg8#,Qg8#,Qg8#,Qg8#,Qg8#,Qg8#,Qg8#
727,Qxb2#,Qxb2#,Qxb2#,Qxb2#,Qxb2#,Qxb2#,Qxb2#
728,Qh6#,Qh6#,Qh6#,Qh6#,Qh6#,Qh6#,Qh6#
729,garbage,garbage,garbage,garbage,garbage,garbage,garbage
730,Bh6#,Bh6#,Bh6#,Bh6#,Bh6#,Bh6#,Bh6#
731,Qc1#,Qc1#,Qc1#,Ra3#,Ra3#,Ra3#,Qc1#
732,Qg4#,Qg4#,Qg4#,Qg4#,g4#,g4#,Qg4#
733,Re8#,Re8#,Re8#,Re8#,Re8#,Re8#,Re8#
734,Qxc8#,Qxc8#,Qxc8#,Qxc8#,Qxc8#,Qxc8#,Qxc8#
735,Rg8#,Rg8#,Rg8#,Rg8#,Rg8#,Rg8#,Rg8#
736,Qh2#,Qh2#,Qh2#,Qh2#,Qh2#,Qh2#,Qh2#
737,garbage,Bg6#,Qb3#,garbage,garbage,Qe4#,Bg6#
738,garbage,garbage,Qxb3#,garbage,c6#,a6#,Qxb3#
739,garbage,garbage,garbage,garbage,garbage,garbage,garbage
740,garbage,garbage,garbage,garbage,garbage,garbage,garbage
741,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#
742,garbage,Qxg6#,garbage,Qxg6#,Qxg6#,Qxg6#,Qxg6#
743,Ra4#,Ra4#,Ra4#,Ra4#,Ra4#,Ra4#,Ra4#
744,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#
745,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#
746,Rf8#,Ra8#,Ra8#,Ra8#,Rf8#,Ra8#,Rf8#
747,Qh5#,Qh1#,Qh5#,Qh1#,Qh5#,Qh1#,Qh5#
748,Qf2#,Qf2#,Qf2#,Qf2#,Qf2#,Qf2#,Qf2#
749,garbage,garbage,Qh3#,garbage,garbage,garbage,Qh3#
750,Rg8#,Rg8#,Rg8#,Rg8#,Rg8#,Rg8#,Rg8#
751,Rh7#,Rh7#,Rh7#,Rh7#,Rh7#,Rh7#,Rh7#
752,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#
753,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#
754,Rxf8#,Rxf8#,Rxf8#,Rxf8#,Rxf8#,Rxf8#,Rxf8#
755,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#
756,garbage,garbage,Qh4#,Qh4#,garbage,garbage,Qh4#
757,garbage,Rxh2#,garbage,Rxh2#,Rxh2#,Rxh2#,Rxh2#
758,garbage,garbage,garbage,garbage,garbage,garbage,garbage
759,garbage,Nh2#,Nh2#,Qf2#,Nh2#,Nh2#,Nh2#
760,garbage,garbage,garbage,garbage,garbage,garbage,garbage
761,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#
762,Rxd8#,Rxd8#,Rxd8#,Rxd8#,Rxd8#,Rxd8#,Rxd8#
763,Qxh7#,garbage,garbage,garbage,Qxh7#,garbage,Qxh7#
764,garbage,garbage,garbage,garbage,garbage,garbage,garbage
765,garbage,garbage,garbage,garbage,garbage,garbage,garbage
766,Qgg8#,Qgg8#,Qgg8#,Qgg8#,Qgg8#,Qgg8#,Qgg8#
767,Qxh6#,Qxh6#,Qxh6#,garbage,Qxh6#,Qxh6#,Qxh6#
768,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#,garbage,Rh1#
769,garbage,garbage,Rxf8#,garbage,garbage,garbage,Rxf8#
770,garbage,garbage,garbage,garbage,garbage,garbage,garbage
771,garbage,garbage,garbage,garbage,garbage,garbage,garbage
772,h7#,h7#,Bf6#,h7#,Bf6#,h7#,h7#
773,garbage,Nxf2#,Nxf2#,Nxf2#,Nxf2#,Nxf2#,Nxf2#
774,Qxg2#,garbage,garbage,garbage,garbage,garbage,Qxg2#
775,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#
776,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#
777,garbage,garbage,Qg3#,Qg3#,Qg3#,Qg3#,Qg3#
778,garbage,garbage,garbage,garbage,garbage,garbage,garbage
779,Bxb7#,Bxb7#,Qxb7#,Qxb7#,Qxb7#,Qxb7#,Bxb7#
780,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#
781,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#
782,Qb3#,Qb3#,Qb4#,Qb4#,Qb4#,Qb3#,Qb3#
783,Rh7#,Rh7#,Rh7#,Rh7#,garbage,Qg3#,Rh7#
784,garbage,garbage,garbage,garbage,garbage,garbage,garbage
785,Rf5#,Rf5#,Qg6#,Rf5#,Rf5#,Rf5#,Rf5#
786,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#
787,Rd8#,Rd8#,Rd8#,Rd8#,Rd8#,Rd8#,Rd8#
788,garbage,garbage,garbage,garbage,garbage,garbage,garbage
789,Qf2#,Qf2#,Qf2#,Qf2#,Qf2#,Qf2#,Qf2#
790,Rxh3#,Rxh3#,Rxh3#,Rxh3#,Rxh3#,Rxh3#,Rxh3#
791,Qca5#,Qca5#,Qca5#,Qca5#,Qca5#,Qca5#,Qca5#
792,Qd8#,Qd8#,Qd8#,Qd8#,Qd8#,garbage,Qd8#
793,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#,Rh1#
794,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#
795,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#
796,garbage,garbage,garbage,garbage,Nxc4#,Nxc4#,Nxc4#
797,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#
798,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
799,Rd1#,Rc4#,Rd1#,Rd1#,Rd1#,Rd1#,Rd1#
800,Rxc1#,Rxc1#,Rxc1#,Rxc1#,Rxc1#,Rxc1#,Rxc1#
801,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#
802,garbage,garbage,garbage,garbage,garbage,garbage,garbage
803,Qf2#,Qf2#,Qf2#,Qf2#,Qf2#,Qf2#,Qf2#
804,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#
805,garbage,garbage,garbage,garbage,garbage,garbage,garbage
806,garbage,garbage,garbage,garbage,garbage,garbage,garbage
807,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#
808,Rh2#,Rf1#,Rf1#,Rf1#,Rh2#,Rh2#,Rh2#
809,Ne4#,Ne4#,garbage,Ne4#,garbage,Ne4#,Ne4#
810,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#
811,Qxh6#,Qxh6#,Qxh6#,Qxh6#,Qxh6#,Qxh6#,Qxh6#
812,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
813,Qd8#,Qd8#,Qd8#,Qd8#,Qd8#,Qd8#,Qd8#
814,a5#,a5#,garbage,a5#,garbage,garbage,a5#
815,Ra8#,Ra8#,Ra8#,Ra8#,Ra8#,Ra8#,Ra8#
816,garbage,garbage,garbage,garbage,garbage,garbage,garbage
817,Qb1#,Qb1#,Qb1#,Qb1#,Qb1#,Qb1#,Qb1#
818,garbage,garbage,garbage,garbage,garbage,garbage,garbage
819,Qf3#,Qf3#,Qf3#,Qf3#,Qf3#,Qf3#,Qf3#
820,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#
821,garbage,garbage,garbage,garbage,garbage,garbage,garbage
822,Qf7#,garbage,garbage,Qf7#,Qf7#,Qf7#,Qf7#
823,Ra1#,Ra1#,Qd1#,Ra1#,Qg2#,Qg2#,Ra1#
824,Rxd8#,Rxd8#,Rxd8#,Rxd8#,Rxd8#,Rxd8#,Rxd8#
825,garbage,garbage,Rd7#,garbage,garbage,garbage,Rd7#
826,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
827,garbage,garbage,garbage,garbage,garbage,garbage,garbage
828,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#
829,Re1#,Re1#,Re1#,Re1#,Re1#,Re1#,Re1#
830,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
831,garbage,garbage,garbage,garbage,garbage,garbage,garbage
832,Qb1#,Qc2#,Qb1#,Qc2#,Qc2#,Qc2#,Qb1#
833,Qe8#,Qe8#,Qe8#,Qe8#,Qe8#,Qe8#,Qe8#
834,Qf8#,Qf8#,Qf8#,Qf8#,Qf8#,Qf8#,Qf8#
835,Rf2#,Rf2#,Rf2#,Rf2#,Rf2#,Rf2#,Rf2#
836,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#
837,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#,Qf7#
838,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#
839,Rh2#,garbage,garbage,Qh1#,Rh2#,Qh1#,Rh2#
840,Re1#,Qb2#,Qd2#,Re1#,Re1#,Re1#,Re1#
841,Qh4#,Qh4#,Qh4#,Qh4#,Qh4#,Qh4#,Qh4#
842,Qxh7#,Qf6#,Qxh7#,Qf6#,Qf6#,Qf6#,Qxh7#
843,Bf7#,Qf7#,garbage,Qf7#,garbage,garbage,Bf7#
844,garbage,Qf1#,Qf1#,Qf1#,Qf1#,Qf1#,Qf1#
845,garbage,Rc8#,Rc8#,garbage,garbage,garbage,Rc8#
846,Qxb7#,Qxb7#,Qxb7#,Qxb7#,Qxb7#,Qxb7#,Qxb7#
847,Rf2#,Rf2#,Rf2#,Rf2#,Rf2#,Rf2#,Rf2#
848,Rb8#,Qc7#,Rb8#,Qd8#,Rb8#,Qd8#,Rb8#
849,Ra4#,Ra4#,Ra4#,Ra4#,Ra4#,Ra4#,Ra4#
850,garbage,garbage,garbage,garbage,garbage,garbage,garbage
851,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#
852,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
853,Qf3#,Qg1#,Qf3#,Qf3#,Qf3#,Qf3#,Qf3#
854,Bf7#,Nf7#,garbage,Bg7#,Nf7#,Nf7#,Bf7#
855,garbage,Qa6#,garbage,garbage,garbage,Qa6#,Qa6#
856,Rh1#,Rh1#,garbage,Rh1#,Rh1#,garbage,Rh1#
857,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#
858,Qf6#,Qf6#,Qf6#,Qf6#,Qf6#,Qf6#,Qf6#
859,Qg2#,Qg2#,Qg4#,Qg2#,Qg4#,Qg2#,Qg2#
860,Qf8#,Qf8#,Qf8#,Qf8#,Qf8#,garbage,Qf8#
861,Rb8#,Rb8#,Rb8#,Rb8#,Rb8#,Rb8#,Rb8#
862,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#
863,garbage,garbage,garbage,garbage,garbage,garbage,garbage
864,Qxf8#,Qxf8#,Qxf8#,Qxf8#,Qxf8#,Qxf8#,Qxf8#
865,Qxf5#,garbage,garbage,Qxf5#,Qxf5#,Qxf5#,Qxf5#
866,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#
867,garbage,Qxg7#,Qxg7#,Qxg7#,Qxg7#,garbage,Qxg7#
868,Qb7#,Qb7#,Qb7#,Qb7#,Qb7#,Qb7#,Qb7#
869,garbage,garbage,garbage,garbage,garbage,garbage,garbage
870,Rh1#,Rh1#,Rh1#,Rh1#,garbage,Rh1#,Rh1#
871,garbage,Rf1#,garbage,Re1#,Rf1#,garbage,Rf1#
872,Qe6#,Qe6#,Qe6#,Qe6#,Qe6#,Qe6#,Qe6#
873,garbage,garbage,garbage,garbage,garbage,garbage,garbage
874,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#
875,Qfc3#,garbage,garbage,Qfc3#,garbage,Qfc3#,Qfc3#
876,Qxf3#,Qxf3#,Qxf3#,Qxf3#,Qxf3#,Qxf3#,Qxf3#
877,garbage,garbage,garbage,garbage,garbage,garbage,garbage
878,Qxc7#,Qxc7#,Qxc7#,Qxc7#,garbage,Qxc7#,Qxc7#
879,Qf8#,Qf8#,Qf8#,Qf8#,Qf8#,Qf8#,Qf8#
880,garbage,garbage,garbage,garbage,garbage,garbage,garbage
881,Qg2#,Qg2#,Qf2#,Qg2#,Qg2#,Qg2#,Qg2#
882,Qg5#,Qg5#,Qg5#,Qg5#,Qg5#,Qg5#,Qg5#
883,Qxf8#,Bxf8#,Qxf8#,Qxf8#,garbage,Qxf8#,Qxf8#
884,Rg8#,Rg8#,Rg8#,Rg8#,Rg8#,Rg8#,Rg8#
885,garbage,garbage,garbage,Qg1#,garbage,garbage,Qg1#
886,garbage,garbage,garbage,garbage,garbage,garbage,garbage
887,garbage,Rg1#,garbage,garbage,garbage,garbage,Rg1#
888,Qb7#,Qb7#,Qb7#,Qb7#,Qb7#,Qb7#,Qb7#
889,garbage,garbage,garbage,garbage,garbage,garbage,garbage
890,Bh7#,Qh7#,Qh7#,Bh7#,Bh7#,Qh7#,Bh7#
891,garbage,garbage,garbage,garbage,garbage,garbage,garbage
892,garbage,garbage,garbage,garbage,garbage,garbage,garbage
893,Re6#,Re6#,Re6#,Re6#,Re6#,Re6#,Re6#
894,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#
895,garbage,garbage,garbage,garbage,garbage,garbage,garbage
896,Rf6#,Rh8#,Rf6#,Rf6#,Rf6#,Rf6#,Rf6#
897,garbage,garbage,garbage,garbage,garbage,Rh8#,Rh8#
898,garbage,garbage,garbage,garbage,garbage,garbage,garbage
899,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#
900,garbage,garbage,garbage,garbage,garbage,garbage,garbage
901,Qf6#,garbage,Qh3#,g4#,Qh3#,g4#,Qf6#
902,Ra7#,Ra7#,Ra7#,Ra7#,Ra7#,Ra7#,Ra7#
903,Nxf3#,Nxf3#,Nxf3#,Nxf3#,Nc2#,Nc2#,Nxf3#
904,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#,Qh8#
905,Qxe8#,garbage,garbage,Qxf7#,Qxf7#,garbage,Qxe8#
906,Rxc8#,Rxc8#,Rxc8#,Rxc8#,Rxc8#,Rxc8#,Rxc8#
907,Rc1#,Re1#,Re1#,Re1#,Re1#,Re1#,Rc1#
908,garbage,garbage,garbage,garbage,garbage,garbage,garbage
909,Qh5#,Qh5#,Qh5#,Qh5#,Qh5#,Qh5#,Qh5#
910,Qe7#,Qe7#,Qf7#,Qe7#,Qe7#,Qf7#,Qe7#
911,garbage,garbage,garbage,garbage,garbage,garbage,garbage
912,garbage,garbage,garbage,garbage,garbage,garbage,garbage
913,garbage,garbage,garbage,garbage,garbage,garbage,garbage
914,garbage,garbage,garbage,garbage,Qf3#,Rb1#,Qf3#
915,Rc8#,Rc8#,Rc8#,Rc8#,Rc8#,Rc8#,Rc8#
916,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#
917,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#
918,Qf7#,Qf7#,garbage,Qf7#,Qf7#,garbage,Qf7#
919,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#
920,Qxd8#,Qxd8#,Qxd8#,Qxd8#,Qxd8#,Qxd8#,Qxd8#
921,Qc1#,Qc1#,Qc1#,Qc1#,Qc1#,Qc1#,Qc1#
922,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#,Rf1#
923,garbage,garbage,Qe7#,garbage,Qe7#,garbage,Qe7#
924,garbage,garbage,garbage,garbage,garbage,garbage,garbage
925,Qg2#,Qf2#,Rf1#,Qg2#,Qf2#,Qg2#,Qg2#
926,garbage,garbage,garbage,garbage,garbage,garbage,garbage
927,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#
928,garbage,garbage,garbage,garbage,Qxb2#,Qxb2#,Qxb2#
929,garbage,garbage,garbage,garbage,garbage,garbage,garbage
930,Qxc6#,Qxc6#,garbage,garbage,garbage,garbage,Qxc6#
931,garbage,Rxh2#,Rxh2#,Rxh2#,Rxh2#,garbage,Rxh2#
932,garbage,Qe1#,Qe1#,Qe1#,garbage,Qe1#,Qe1#
933,garbage,garbage,garbage,garbage,Qg4#,garbage,Qg4#
934,garbage,garbage,garbage,garbage,garbage,garbage,garbage
935,garbage,garbage,garbage,garbage,garbage,garbage,garbage
936,Qd5#,Qd5#,Qd5#,Qd5#,Qd5#,garbage,Qd5#
937,garbage,garbage,garbage,garbage,garbage,garbage,garbage
938,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
939,Re8#,Re8#,Re8#,Re8#,Re8#,Re8#,Re8#
940,Qc1#,Rd1#,Rd1#,garbage,Rd1#,Rd1#,Qc1#
941,Qxf7#,garbage,Qxf7#,garbage,garbage,garbage,Qxf7#
942,Qxd2#,Qxd2#,Qxd2#,Qxd2#,Qxd2#,Qxd2#,Qxd2#
943,Rxg4#,Rxg4#,Rxg4#,Rxg4#,Rxg4#,Rxg4#,Rxg4#
944,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
945,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#
946,garbage,Qc8#,Qc8#,Qc8#,Qc8#,garbage,Qc8#
947,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#
948,Rf8#,Rf8#,Rf8#,Rf8#,Rf8#,Rf8#,Rf8#
949,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#
950,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#,Qd1#
951,garbage,garbage,garbage,garbage,garbage,garbage,garbage
952,Re8#,Re8#,Re8#,Re8#,Re8#,Re8#,Re8#
953,garbage,garbage,garbage,garbage,garbage,garbage,garbage
954,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#
955,garbage,garbage,garbage,garbage,garbage,garbage,garbage
956,garbage,Qc7#,garbage,garbage,Qc7#,Qc7#,Qc7#
957,garbage,garbage,garbage,garbage,garbage,garbage,garbage
958,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#,Rh8#
959,garbage,Qh3#,garbage,garbage,Qh3#,garbage,Qh3#
960,garbage,Qe7#,garbage,Qe7#,garbage,garbage,Qe7#
961,garbage,Ra2#,Ra2#,Ra2#,Ra2#,garbage,Ra2#
962,Qf2#,Qf2#,Qf2#,Qf2#,Qf2#,Qf2#,Qf2#
963,garbage,garbage,garbage,garbage,garbage,garbage,garbage
964,Qxe8#,Qxe8#,Qxe8#,Qxe8#,Qxe8#,Qxe8#,Qxe8#
965,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#
966,Qxf8#,Qxf8#,Qxf8#,Qxf8#,Qxf8#,Qxf8#,Qxf8#
967,Qg7#,Qg7#,Qg7#,Bg7#,Bg7#,Qg7#,Qg7#
968,garbage,garbage,garbage,garbage,garbage,garbage,garbage
969,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#
970,Rh4#,Rh4#,Rh4#,Rh4#,Rh4#,Rh4#,Rh4#
971,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#
972,Qxf3#,Qxf3#,Qxf3#,Qxf3#,Qxf3#,Qxf3#,Qxf3#
973,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#,Qg2#
974,b5#,b5#,b5#,b5#,b5#,b5#,b5#
975,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#,Qh7#
976,Qd4#,Re7#,Qd4#,Qd4#,Re7#,Re7#,Qd4#
977,garbage,garbage,garbage,Qf8#,Qf8#,garbage,Qf8#
978,garbage,garbage,garbage,garbage,garbage,garbage,garbage
979,garbage,garbage,garbage,garbage,garbage,garbage,garbage
980,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#,Qg7#
981,garbage,garbage,garbage,garbage,garbage,Rg6#,Rg6#
982,Qxa7#,Qxa7#,Qxa7#,Qxa7#,Qxa7#,Qxa7#,Qxa7#
983,Rd1#,garbage,garbage,Rd1#,Rd1#,garbage,Rd1#
984,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#,Qxf7#
985,Qe1#,Qe1#,garbage,Qe1#,garbage,Qe1#,Qe1#
986,Qh7#,Qh7#,h7#,h7#,Qh7#,Qh7#,Qh7#
987,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#
988,garbage,garbage,garbage,garbage,garbage,garbage,garbage
989,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#,Qxf2#
990,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#,Ra1#
991,garbage,garbage,garbage,Qxh7#,Qxh7#,Qxh7#,Qxh7#
992,Qf8#,Qf8#,Qf8#,Qf8#,Qf8#,Qf8#,Qf8#
993,Qf2#,Qf2#,Qf2#,Qf2#,Qf2#,Qf2#,Qf2#
994,garbage,garbage,garbage,garbage,garbage,garbage,garbage
995,Rb3#,Rb3#,Rb3#,Rb3#,Rb3#,Rb3#,Rb3#
996,Qd4#,garbage,Qd4#,Qd4#,Qd4#,Qd4#,Qd4#
997,Re7#,Re7#,Re7#,Re7#,Re7#,Re7#,Re7#
998,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#,Qxh7#
999,Qxg7#,garbage,garbage,Qxg7#,garbage,Qxg7#,Qxg7#
1000,garbage,garbage,garbage,Qxf2#,garbage,garbage,Qxf2#
1001,Ra7#,Ra7#,Ra7#,Ra7#,Ra7#,Ra7#,Ra7#
1002,garbage,garbage,garbage,garbage,garbage,garbage,garbage
1003,garbage,garbage,garbage,garbage,garbage,garbage,garbage
1004,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#,Qxg7#
